school,district,school_year,enrollment,category,reason,description,date_description,year,days,cds_code,county
Buena Vista High,Geyserville Unified,2017-18,5,Wildfires,2017 Wine Country Fires,Mandatory Evacuation and smoke damage from Sonoma Wildfires-State of Emergency,"October 9-27, 2017",2017,15,4.97071E+13,Sonoma
Buena Vista High,Geyserville Unified,2018-19,4,Wildfires,Camp Fire 2018,2018 Wildfire - Camp Fire - Air Quality,"November 9 and 13, 2018",2018,2,4.97071E+13,Sonoma
Geyserville Elementary,Geyserville Unified,2017-18,106,Wildfires,2017 Wine Country Fires,Mandatory Evacuation and smoke damage from Sonoma Wildfires-State of Emergency,"October 9-27, 2017",2017,15,4.97071E+13,Sonoma
Geyserville Elementary,Geyserville Unified,2018-19,107,Wildfires,Camp Fire 2018,2018 Wildfire - Camp Fire - Air Quality,"November 9 and 13, 2018",2018,2,4.97071E+13,Sonoma
Geyserville New Tech Academy,Geyserville Unified,2017-18,126,Wildfires,2017 Wine Country Fires,Mandatory Evacuation and smoke damage from Sonoma Wildfires-State of Emergency,"October 9-27, 2017",2017,15,4.97071E+13,Sonoma
Geyserville New Tech Academy,Geyserville Unified,2018-19,121,Wildfires,Camp Fire 2018,2018 Wildfire - Camp Fire - Air Quality,"November 9 and 13, 2018",2018,2,4.97071E+13,Sonoma
Abraham Lincoln Elementary,Glendale Unified,2009-10,497,Wildfires,2009 Southern California Fires,Station Wildfire,"August 31, 2009, September 1-2, 2009",2009,3,1.96457E+13,Los Angeles
Anderson W. Clark Magnet High,Glendale Unified,2009-10,1127,Wildfires,2009 Southern California Fires,Station Wildfire,"August 31, 2009, September 1-2, 2009",2009,3,1.96457E+13,Los Angeles
Balboa Elementary,Glendale Unified,2009-10,556,Wildfires,2009 Southern California Fires,Station Wildfire,"August 31, 2009, September 1-2, 2009",2009,3,1.96457E+13,Los Angeles
Benjamin Franklin Elementary,Glendale Unified,2009-10,407,Wildfires,2009 Southern California Fires,Station Wildfire,"August 31, 2009, September 1-2, 2009",2009,3,1.96457E+13,Los Angeles
Cerritos Elementary,Glendale Unified,2009-10,427,Wildfires,2009 Southern California Fires,Station Wildfire,"August 31, 2009, September 1-2, 2009",2009,3,1.96457E+13,Los Angeles
College View,Glendale Unified,2009-10,143,Wildfires,2009 Southern California Fires,Station Wildfire,"August 31, 2009, September 1-2, 2009",2009,3,1.96457E+13,Los Angeles
Columbus Elementary,Glendale Unified,2009-10,609,Wildfires,2009 Southern California Fires,Station Wildfire,"August 31, 2009, September 1-2, 2009",2009,3,1.96457E+13,Los Angeles
Crescenta Valley High,Glendale Unified,2009-10,3004,Wildfires,2009 Southern California Fires,Station Wildfire,"August 31, 2009, September 1-2, 2009",2009,3,1.96457E+13,Los Angeles
Daily (Allan F.) High (Continuation),Glendale Unified,2009-10,304,Wildfires,2009 Southern California Fires,Station Wildfire,"August 31, 2009, September 1-2, 2009",2009,3,1.96457E+13,Los Angeles
Dunsmore Elementary,Glendale Unified,2009-10,443,Wildfires,2009 Southern California Fires,Station Wildfire,"August 31, 2009, September 1-2, 2009",2009,3,1.96457E+13,Los Angeles
Eleanor J. Toll Middle,Glendale Unified,2009-10,1268,Wildfires,2009 Southern California Fires,Station Wildfire,"August 31, 2009, September 1-2, 2009",2009,3,1.96457E+13,Los Angeles
Glendale High,Glendale Unified,2009-10,2967,Wildfires,2009 Southern California Fires,Station Wildfire,"August 31, 2009, September 1-2, 2009",2009,3,1.96457E+13,Los Angeles
Glenoaks Elementary,Glendale Unified,2009-10,570,Wildfires,2009 Southern California Fires,Station Wildfire,"August 31, 2009, September 1-2, 2009",2009,3,1.96457E+13,Los Angeles
Herbert Hoover High,Glendale Unified,2009-10,2097,Wildfires,2009 Southern California Fires,Station Wildfire,"August 31, 2009, September 1-2, 2009",2009,3,1.96457E+13,Los Angeles
Horace Mann Elementary,Glendale Unified,2009-10,716,Wildfires,2009 Southern California Fires,Station Wildfire,"August 31, 2009, September 1-2, 2009",2009,3,1.96457E+13,Los Angeles
John C. Fremont Elementary,Glendale Unified,2009-10,671,Wildfires,2009 Southern California Fires,Station Wildfire,"August 31, 2009, September 1-2, 2009",2009,3,1.96457E+13,Los Angeles
John Marshall Elementary,Glendale Unified,2009-10,518,Wildfires,2009 Southern California Fires,Station Wildfire,"August 31, 2009, September 1-2, 2009",2009,3,1.96457E+13,Los Angeles
John Muir Elementary,Glendale Unified,2009-10,802,Wildfires,2009 Southern California Fires,Station Wildfire,"August 31, 2009, September 1-2, 2009",2009,3,1.96457E+13,Los Angeles
La Crescenta Elementary,Glendale Unified,2009-10,532,Wildfires,2009 Southern California Fires,Station Wildfire,"August 31, 2009, September 1-2, 2009",2009,3,1.96457E+13,Los Angeles
Mark Keppel Elementary,Glendale Unified,2009-10,854,Wildfires,2009 Southern California Fires,Station Wildfire,"August 31, 2009, September 1-2, 2009",2009,3,1.96457E+13,Los Angeles
Monte Vista Elementary,Glendale Unified,2009-10,570,Wildfires,2009 Southern California Fires,Station Wildfire,"August 31, 2009, September 1-2, 2009",2009,3,1.96457E+13,Los Angeles
Mountain Avenue Elementary,Glendale Unified,2009-10,558,Wildfires,2009 Southern California Fires,Station Wildfire,"August 31, 2009, September 1-2, 2009",2009,3,1.96457E+13,Los Angeles
R. D. White Elementary,Glendale Unified,2009-10,787,Wildfires,2009 Southern California Fires,Station Wildfire,"August 31, 2009, September 1-2, 2009",2009,3,1.96457E+13,Los Angeles
Rosemont Middle,Glendale Unified,2009-10,1344,Wildfires,2009 Southern California Fires,Station Wildfire,"August 31, 2009, September 1-2, 2009",2009,3,1.96457E+13,Los Angeles
Theodore Roosevelt Middle,Glendale Unified,2009-10,965,Wildfires,2009 Southern California Fires,Station Wildfire,"August 31, 2009, September 1-2, 2009",2009,3,1.96457E+13,Los Angeles
Thomas Edison Elementary,Glendale Unified,2009-10,718,Wildfires,2009 Southern California Fires,Station Wildfire,"August 31, 2009, September 1-2, 2009",2009,3,1.96457E+13,Los Angeles
Thomas Jefferson Elementary,Glendale Unified,2009-10,538,Wildfires,2009 Southern California Fires,Station Wildfire,"August 31, 2009, September 1-2, 2009",2009,3,1.96457E+13,Los Angeles
Valley View Elementary,Glendale Unified,2009-10,430,Wildfires,2009 Southern California Fires,Station Wildfire,"August 31, 2009, September 1-2, 2009",2009,3,1.96457E+13,Los Angeles
Verdugo Woodlands Elementary,Glendale Unified,2009-10,591,Wildfires,2009 Southern California Fires,Station Wildfire,"August 31, 2009, September 1-2, 2009",2009,3,1.96457E+13,Los Angeles
Woodrow Wilson Middle,Glendale Unified,2009-10,1400,Wildfires,2009 Southern California Fires,Station Wildfire,"August 31, 2009, September 1-2, 2009",2009,3,1.96457E+13,Los Angeles
Cullen Elementary,Glendora Unified,2013-14,661,Wildfires,Colby Fire 2014,"Wildfire. Closure for Cullen Elementary, La Fetra Elementary, Sellers Elementary, Goddard Middle, and Sandburg Middle. Material Decrease for Glendora High.",16-Jan-14,2014,1,1.96458E+13,Los Angeles
Glendora High,Glendora Unified,2013-14,2412,Wildfires,Colby Fire 2014,"Wildfire. Closure for Cullen Elementary, La Fetra Elementary, Sellers Elementary, Goddard Middle, and Sandburg Middle. Material Decrease for Glendora High.",16-Jan-14,2014,1,1.96458E+13,Los Angeles
Goddard Middle,Glendora Unified,2013-14,945,Wildfires,Colby Fire 2014,"Wildfire. Closure for Cullen Elementary, La Fetra Elementary, Sellers Elementary, Goddard Middle, and Sandburg Middle. Material Decrease for Glendora High.",16-Jan-14,2014,1,1.96458E+13,Los Angeles
La Fetra Elementary,Glendora Unified,2013-14,790,Wildfires,Colby Fire 2014,"Wildfire. Closure for Cullen Elementary, La Fetra Elementary, Sellers Elementary, Goddard Middle, and Sandburg Middle. Material Decrease for Glendora High.",16-Jan-14,2014,1,1.96458E+13,Los Angeles
Sandburg Middle,Glendora Unified,2013-14,922,Wildfires,Colby Fire 2014,"Wildfire. Closure for Cullen Elementary, La Fetra Elementary, Sellers Elementary, Goddard Middle, and Sandburg Middle. Material Decrease for Glendora High.",16-Jan-14,2014,1,1.96458E+13,Los Angeles
Sellers Elementary,Glendora Unified,2013-14,647,Wildfires,Colby Fire 2014,"Wildfire. Closure for Cullen Elementary, La Fetra Elementary, Sellers Elementary, Goddard Middle, and Sandburg Middle. Material Decrease for Glendora High.",16-Jan-14,2014,1,1.96458E+13,Los Angeles
Walden Academy,Glenn County Office of Education,2018-19,183,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,16-Nov-18,2018,1,,Glenn
Concow Elementary,Golden Feather Union Elementary,2007-08,79,Wildfires,2008 Butte County Fires,State of emergency declared due to fires,13-Jun-08,2008,1,4.61458E+12,Butte
Concow Elementary,Golden Feather Union Elementary,2018-19,61,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire,"November 8-30, 2018",2018,11,4.61458E+12,Butte
Golden Feather Community Day,Golden Feather Union Elementary,2007-08,2,Wildfires,2008 Butte County Fires,State of emergency declared due to fires,13-Jun-08,2008,1,4.61458E+12,Butte
Spring Valley Elementary,Golden Feather Union Elementary,2007-08,63,Wildfires,2008 Butte County Fires,State of emergency declared due to fires,13-Jun-08,2008,1,4.61458E+12,Butte
Brandon Elementary,Goleta Union Elementary,2008-09,409,Wildfires,Jesusita Fire 2009,Jesusita fire. State of Emergency GAAS:227:09,8-May-09,2009,1,4.2692E+13,Santa Barbara
Brandon Elementary,Goleta Union Elementary,2017-18,412,Wildfires,2017 Southern California Fires,Thomas Fire-State of Emergency,"December 7-15, 2017",2017,7,4.2692E+13,Santa Barbara
El Camino Elementary,Goleta Union Elementary,2008-09,279,Wildfires,Jesusita Fire 2009,Jesusita fire. State of Emergency GAAS:227:09,8-May-09,2009,1,4.2692E+13,Santa Barbara
El Camino Elementary,Goleta Union Elementary,2017-18,229,Wildfires,2017 Southern California Fires,Thomas Fire-State of Emergency,"December 7-15, 2017",2017,7,4.2692E+13,Santa Barbara
Ellwood Elementary,Goleta Union Elementary,2008-09,422,Wildfires,Jesusita Fire 2009,Jesusita fire. State of Emergency GAAS:227:09,8-May-09,2009,1,4.2692E+13,Santa Barbara
Ellwood Elementary,Goleta Union Elementary,2017-18,394,Wildfires,2017 Southern California Fires,Thomas Fire-State of Emergency,"December 7-15, 2017",2017,7,4.2692E+13,Santa Barbara
Foothill Elementary,Goleta Union Elementary,2008-09,418,Wildfires,Jesusita Fire 2009,Jesusita fire. State of Emergency GAAS:227:09,8-May-09,2009,1,4.2692E+13,Santa Barbara
Foothill Elementary,Goleta Union Elementary,2017-18,476,Wildfires,2017 Southern California Fires,Thomas Fire-State of Emergency,"December 7-15, 2017",2017,7,4.2692E+13,Santa Barbara
Hollister Elementary,Goleta Union Elementary,2008-09,443,Wildfires,Jesusita Fire 2009,Jesusita fire. State of Emergency GAAS:227:09,8-May-09,2009,1,4.2692E+13,Santa Barbara
Hollister Elementary,Goleta Union Elementary,2017-18,427,Wildfires,2017 Southern California Fires,Thomas Fire-State of Emergency,"December 7-15, 2017",2017,7,4.2692E+13,Santa Barbara
Isla Vista Elementary,Goleta Union Elementary,2008-09,439,Wildfires,Jesusita Fire 2009,Jesusita fire. State of Emergency GAAS:227:09,8-May-09,2009,1,4.2692E+13,Santa Barbara
Isla Vista Elementary,Goleta Union Elementary,2017-18,473,Wildfires,2017 Southern California Fires,Thomas Fire-State of Emergency,"December 7-15, 2017",2017,7,4.2692E+13,Santa Barbara
Kellogg Elementary,Goleta Union Elementary,2008-09,396,Wildfires,Jesusita Fire 2009,Jesusita fire. State of Emergency GAAS:227:09,8-May-09,2009,1,4.2692E+13,Santa Barbara
Kellogg Elementary,Goleta Union Elementary,2017-18,434,Wildfires,2017 Southern California Fires,Thomas Fire-State of Emergency,"December 7-15, 2017",2017,7,4.2692E+13,Santa Barbara
La Patera Elementary,Goleta Union Elementary,2008-09,430,Wildfires,Jesusita Fire 2009,Jesusita fire. State of Emergency GAAS:227:09,8-May-09,2009,1,4.2692E+13,Santa Barbara
La Patera Elementary,Goleta Union Elementary,2017-18,375,Wildfires,2017 Southern California Fires,Thomas Fire-State of Emergency,"December 7-15, 2017",2017,7,4.2692E+13,Santa Barbara
Mountain View Elementary,Goleta Union Elementary,2008-09,372,Wildfires,Jesusita Fire 2009,Jesusita fire. State of Emergency GAAS:227:09,8-May-09,2009,1,4.2692E+13,Santa Barbara
Mountain View Elementary,Goleta Union Elementary,2017-18,321,Wildfires,2017 Southern California Fires,Thomas Fire-State of Emergency,"December 7-15, 2017",2017,7,4.2692E+13,Santa Barbara
Gorman Elementary,Gorman Joint,2006-07,48,Wildfires,Day Fire 2006,"""Day Fire"" smoke and evacuations 9/8, 9/19, 9/27, through 9/29/2006","September 8, 19, and 27 through 29, 2006",2006,5,1.96458E+13,Los Angeles
Grant Elementary,Grant Elementary,2018-19,633,Wildfires,Carr Fire 2018,Carr Fire - State of Emergency,"August 15-17 and 20-21, 2018",2018,5,4.57E+13,Shasta
Margaret G. Scotten Elementary,Grass Valley Elementary,2017-18,477,Wildfires,Other Wildfires,"Nevada county fires - State of Emergency
, snow",26-Feb-18,2018,1,2.96633E+13,Nevada
Gravenstein Community Day,Gravenstein Union Elementary,2018-19,1,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 9, 13-14, and 16, 2018",2018,4,4.97071E+13,Sonoma
Gravenstein Elementary,Gravenstein Union Elementary,2017-18,436,Wildfires,2017 Wine Country Fires,"Atlas Fire, State of Emergency","October 9-13, and 16, 2017",2017,6,4.97071E+13,Sonoma
Gravenstein Elementary,Gravenstein Union Elementary,2018-19,472,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 9, 13-14, and 16, 2018",2018,4,4.97071E+13,Sonoma
Gravenstein First,Gravenstein Union Elementary,2017-18,38,Wildfires,2017 Wine Country Fires,"Atlas fire, State of Emergency","October 9-13, and 16, 2017",2017,6,4.97071E+13,Sonoma
Gravenstein First,Gravenstein Union Elementary,2018-19,34,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 9, 13-14, and 16, 2018",2018,4,4.97071E+13,Sonoma
Hillcrest Middle,Gravenstein Union Elementary,2017-18,250,Wildfires,2017 Wine Country Fires,"Atlas fire, State of Emergency","October 9-13, and 16, 2017",2017,6,4.97071E+13,Sonoma
Hillcrest Middle,Gravenstein Union Elementary,2018-19,253,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 9, 13-14, and 16, 2018",2018,4,4.97071E+13,Sonoma
Esperanza High (Continuation),Gridley Unified,2018-19,33,Wildfires,Camp Fire 2018,2018 Wildfires-Camp Fire-State of Emergency,"November 9, 13-16 and 26-30, 2018",2018,10,4.75507E+12,Butte
Gridley High,Gridley Unified,2018-19,666,Wildfires,Camp Fire 2018,2018 Wildfires-Camp Fire-State of Emergency,"November 9, 13-16 and 26-30, 2018",2018,10,4.75507E+12,Butte
McKinley Elementary,Gridley Unified,2018-19,334,Wildfires,Camp Fire 2018,2018 Wildfires-Camp Fire-State of Emergency,"November 9, 13-16 and 26-30, 2018",2018,10,4.75508E+12,Santa Barbara
Sycamore Middle,Gridley Unified,2018-19,464,Wildfires,Camp Fire 2018,2018 Wildfires-Camp Fire-State of Emergency,"November 9, 13-16 and 26-30, 2018",2018,10,4.75508E+12,Butte
Wilson Elementary,Gridley Unified,2018-19,585,Wildfires,Camp Fire 2018,2018 Wildfires-Camp Fire-State of Emergency,"November 9, 13-16 and 26-30, 2018",2018,10,4.75508E+12,Butte
Chaparral High,Grossmont Union High,2003-04,221,Wildfires,2003 Southern California Fires,San Diego County Fires,"October 27 through 31, 2003",2003,5,3.76813E+13,San Diego
Chaparral High,Grossmont Union High,2007-08,264,Wildfires,2007 Southern California Fires,2007 southern California fires,"October 22 through October 26, 2007",2007,5,3.76813E+13,San Diego
El Cajon Valley High,Grossmont Union High,2003-04,2230,Wildfires,2003 Southern California Fires,San Diego County Fires,"October 27 through 31, 2003",2003,5,3.76813E+13,San Diego
